quesId	Q_Id	prompt.Domain	prompt.Elicitation Method	prompt.Target	prompt.content.English-Latin.text.000000.startindex	prompt.content.English-Latin.text.000000.endindex	prompt.content.English-Latin.text.000000.textspan.Latin	prompt.content.Hindi-Devanagari.text.000000.startindex	prompt.content.Hindi-Devanagari.text.000000.endindex	prompt.content.Hindi-Devanagari.text.000000.textspan.Devanagari
	ADJ76	[General]	Translation	[Adjective]			The sun heats the water(in the river/sea/tank)			सूरज पानी को गर्म करता है (नदी/समुद्र/टैंक में)
	ADJ9	[General]	Translation	[Adjective]			These new people are good.			ये नए लोग अच्छे हैं।
	ADJ10	[General]	Translation	[Adjective]			A good boy respects his parents.			एक अच्छा लड़का अपने माता-पिता का सम्मान करता है।
	ADJ11	[General]	Translation	[Adjective]			She is a good girl.			वह अच्छी लड़की है।
	ADJ12	[General]	Translation	[Adjective]			Give me some good cloth.			मुझे कोई अच्छा कपड़ा दो।
	ADJ13	[General]	Translation	[Adjective]			They are good friends of mine.			वे मेरे अच्छे दोस्त हैं।
	ADJ14	[General]	Translation	[Adjective]			Good people are difficult to find.			अच्छे लोग मिलना मुश्किल है।
	ADJ15	[General]	Translation	[Adjective]			This boy is good.			यह लड़का अच्छा है।
	ADJ16	[General]	Translation	[Adjective]			This girl is good.			यह लड़की अच्छी है।
	ADJ17	[General]	Translation	[Adjective]			This tea is good.			यह चाय अच्छी है।
	ADJ18	[General]	Translation	[Adjective]			The good book is red.			शुभ ग्रंथ लाल है।
	ADJ19	[General]	Translation	[Adjective]			These people are good.			ये लोग अच्छे हैं।
	ADJ20	[General]	Translation	[Adjective]			Ram is a bad boy.			राम एक बुरा लड़का है।
	ADJ21	[General]	Translation	[Adjective]			Sita is a bad girl.			सीता एक बुरी लड़की है।
	ADJ22	[General]	Translation	[Adjective]			The bad boy is new (here).			यह बुरा लड़का यहाँ नया हैं।
	ADJ23	[General]	Translation	[Adjective]			They are bad people.			वे बुरे लोग हैं।
	ADJ24	[General]	Translation	[Adjective]			This is a bad pen.			यह एक खराब कलम है।
	ADJ25	[General]	Translation	[Adjective]			That boy is bad.			वह लड़का बुरा है।
	ADJ26	[General]	Translation	[Adjective]			That girl is bad.			वह लड़की खराब है।
	ADJ27	[General]	Translation	[Adjective]			Those people are bad.			वे लोग बुरे हैं।
	ADJ28	[General]	Translation	[Adjective]			That chair is bad.			वह कुर्सी खराब है।
	ADJ29	[General]	Translation	[Adjective]			Duster is a big car.			डस्टर एक बड़ी कार है।
	ADJ30	[General]	Translation	[Adjective]			His car is big.			उनकी कार बड़ी है।
	ADJ31	[General]	Translation	[Adjective]			This big house is old.			यह बड़ा घर पुराना है।
	ADJ65	[General]	Translation	[Adjective]			He is getting old.			वह बूढ़ा हो रहा है।
	ADJ66	[General]	Translation	[Adjective]			Clothes fade when they get old.			कपड़े पुराने होने पर फीके पड़ जाते हैं।
	ADJ32	[General]	Translation	[Adjective]			That girl is tall.			वह लड़की लंबी है।
	ADJ33	[General]	Translation	[Adjective]			The short girl has black hair.			छोटी लड़की के काले बाल हैं।
	ADJ34	[General]	Translation	[Adjective]			Rat is a small animal.			चूहा एक छोटा जानवर है।
	ADJ35	[General]	Translation	[Adjective]			This cat is small, but it killed this big bird.			यह बिल्ली छोटी है, लेकिन इसने इस बड़े पक्षी को मार डाला।
	ADJ36	[General]	Translation	[Adjective]			Give me a white cloth.			मुझे एक सफेद कपड़ा दे दो।
	ADJ37	[General]	Translation	[Adjective]			Her shirt is white.			उसकी शर्ट सफेद है।
	ADJ38	[General]	Translation	[Adjective]			She has black hair.			उसके बाल काले हैं।
	ADJ39	[General]	Translation	[Adjective]			Crow is black.			कौआ काला है।
	ADJ40	[General]	Translation	[Adjective]			I want a red cup.			मुझे लाल प्याला चाहिए।
	ADJ41	[General]	Translation	[Adjective]			The red book is good.			लाल किताब अच्छी है।
	ADJ42	[General]	Translation	[Adjective]			Your cup is red.			आपका प्याला लाल है।
	ADJ67	[General]	Translation	[Adjective]			Please whiten/bleach this cloth.			कृपया इस कपड़े को सफेद/ब्लीच कर दें।
	ADJ68	[General]	Translation	[Adjective]			The oranges ripen in this season.			इस मौसम में संतरे पकते हैं।
	ADJ69	[General]	Translation	[Adjective]			(After illness) he got better in 3 days.			(बीमारी के बाद) वह 3 दिन में ठीक हो गया।
	ADJ70	[General]	Translation	[Adjective]			The sky reddens at sunset.			सूर्यास्त के समय आकाश लाल हो जाता है।
	ADJ71	[General]	Translation	[Adjective]			Children grow up and leave their homes. (become boy)			बच्चे बड़े होकर घर छोड़ देते हैं। (लड़का बनो)
	ADJ72	[General]	Translation	[Adjective]			The tree grew(become) very tall in a few years.			पेड़ कुछ ही वर्षों में बहुत ऊँचा (बड़ा) हो गया।
	ADJ73	[General]	Translation	[Adjective]			I shortened my hair.			मैंने अपने बाल छोटे कर लिए।
	ADJ74	[General]	Translation	[Adjective]			Please shorten this cloth/rope.			कृपया इस कपड़े/रस्सी को छोटा कर दें।
	ADJ75	[General]	Translation	[Adjective]			Make this wood smaller.			इस लकड़ी को छोटा करो।
	ADJ43	[General]	Translation	[Adjective]			The girl whom you saw is my sister.			जिस लड़की को तुमने देखा वह मेरी बहन है।
	ADJ44	[General]	Translation	[Adjective]			The house which is smallest is my grandmother's house.			जो घर सबसे छोटा है वह मेरी दादी का घर है।
	ADJ45	[General]	Translation	[Adjective]			The shirt that I bought is costly.			मैंने जो कमीज खरीदी है वह महंगी है।
	ADJ46	[General]	Translation	[Adjective]			Call the boy who broke the glass.			उस लड़के को बुलाओ जिसने शीशा तोड़ा।
	ADJ47	[General]	Translation	[Adjective]			Call the milkman who came yesterday.			कल आए दूधवाले को बुलाओ।
	ADJ48	[General]	Translation	[Adjective]			I ate the chicken that was cooked last night.			मैंने कल रात पका हुआ चिकन खाया।
	ADJ49	[General]	Translation	[Adjective]			Women who work are happier than women who don't.			काम न करने वाली महिलाओं की तुलना में काम करने वाली महिलाएं ज्यादा खुश रहती हैं।
	ADJ50	[General]	Translation	[Adjective]			The loudly crying baby is not my child.			जोर-जोर से रोने वाला बच्चा मेरा बच्चा नहीं है।
	ADJ51	[General]	Translation	[Adjective]			The one who is standing there, that boy is my brother.			जो वहाँ खड़ा है, वह लड़का मेरा भाई है।
	ADJ52	[General]	Translation	[Adjective]			The burning candle was blown off by the child.			जलती हुई मोमबत्ती को बच्चे ने उड़ा दिया।
	ADJ53	[General]	Translation	[Adjective]			Kiran is as good as Suman.			किरण उतनी ही अच्छी है जितनी सुमन।
	ADJ54	[General]	Translation	[Adjective]			He is good but she is better.			वह अच्छा है लेकिन वह (लड़की) बेहतर है।
	ADJ55	[General]	Translation	[Adjective]			Mira is taller than Madan.			मीरा मदन से लंबी है।
	ADJ56	[General]	Translation	[Adjective]			Tilak is taller than everybody.			तिलक सभी से लम्बे हैं।
	ADJ57	[General]	Translation	[Adjective]			Nima is more beautiful than her sister.			नीमा अपनी बहन से भी ज्यादा खूबसूरत है।
	ADJ58	[General]	Translation	[Adjective]			Miro is the fastest runner.			मिरो सबसे तेज धावक है।
	ADJ59	[General]	Translation	[Adjective]			Sikkim has the best weather in the country.			सिक्किम का मौसम देश का सबसे अच्छा मौसम है।
	ADJ60	[General]	Translation	[Adjective]			She is the most beautiful of all girls.			वह सभी लड़कियों में सबसे खूबसूरत है।
	ADJ61	[General]	Translation	[Adjective]			Ganga is the longest river in India.			गंगा भारत की सबसे लंबी नदी है।
	ADJ62	[General]	Translation	[Adjective]			You are the best person in the group.			आप ग्रुप में सबसे अच्छे व्यक्ति हैं।
	ADJ63	[General]	Translation	[Adjective]			He tried his best to become better(as a person).			उन्होंने (एक व्यक्ति के रूप में) बेहतर बनने की पूरी कोशिश की।
	ADJ64	[General]	Translation	[Adjective]			The boy became worse and worse(as a person) as he grew up.			लड़का बड़ा होने के साथ-साथ (एक व्यक्ति के रूप में) बदतर होता गया।
	INT1	[General]	Translation	[Interrogative]			What is your name?			तुम्हारा नाम क्या है ?
	INT2	[General]	Translation	[Interrogative]			What is this?			यह क्या है?
	INT3	[General]	Translation	[Interrogative]			What did Nikita give to Bishakha?			निकिता ने बिशाखा को क्या दिया?
	INT4	[General]	Translation	[Interrogative]			What did you eat?			क्या खाया तुमने ?
	INT5	[General]	Translation	[Interrogative]			I don't know what Kiro found.			मुझे नहीं पता किरो ने क्या पाया।
	INT46	[General]	Translation	[Interrogative]			What book did you read last month?			पिछले महीने आपने कौन सी किताब पढ़ी?
	INT47	[General]	Translation	[Interrogative]			What gift can I give to a friend who recently got married?			मैं उस दोस्त को क्या उपहार दे सकता हूँ जिसकी हाल ही में शादी हुई है?
	INT6	[General]	Translation	[Interrogative]			Where is your house?			आपका घर कहां है?
	INT7	[General]	Translation	[Interrogative]			I know where Kiran lives.			मुझे पता है कि किरण कहाँ रहती है।
	INT48	[General]	Translation	[Interrogative]			From Where did you get this?			आपको यह कहाँ से मिला?
	INT49	[General]	Translation	[Interrogative]			From Where are you coming?			कहाँ से आ रहे हो?
	INT50	[General]	Translation	[Interrogative]			Where will you go from here?			तुम यहाँ से कहाँ जाओगे?
	INT51	[General]	Translation	[Interrogative]			Where are you going?			कहां जा रहा है?
	INT52	[General]	Translation	[Interrogative]			Where does this road lead to?			यह सड़क कहाँ जाती है?
	INT8	[General]	Translation	[Interrogative]			Where did Samir say Mira lives?			समीर ने कहा कि मीरा कहाँ रहती है?
	INT9	[General]	Translation	[Interrogative]			How did Maya fall?			माया कैसे गिर गई?
	INT53	[General]	Translation	[Interrogative]			How good this view looks?			यह नजारा कितना अच्छा लगता है?
	INT10	[General]	Translation	[Interrogative]			I know how Bishal fell.			मुझे पता है कि बिशाल कैसे गिरे।
	INT11	[General]	Translation	[Interrogative]			How did he say Kiran repaired the bicycle?			उसने कैसे कहा कि किरण ने साइकिल की मरम्मत की?
	INT12	[General]	Translation	[Interrogative]			When does the cock crow?			मुर्गा कब बांग देता है?
	INT13	[General]	Translation	[Interrogative]			I don't know when he will come.			मुझे नहीं पता कि वह कब आएगा।
	INT14	[General]	Translation	[Interrogative]			When did Tito say Miro will come?			टीटो ने कहा कि मिरो कब आएगा?
	INT15	[General]	Translation	[Interrogative]			Whose house is that?			वह किसका घर है?
	INT16	[General]	Translation	[Interrogative]			I don't know whose house it is.			पता नहीं किसका घर है।
	INT17	[General]	Translation	[Interrogative]			Why did she leave the job?			उसने नौकरी क्यों छोड़ी?
	INT18	[General]	Translation	[Interrogative]			I know why she left the job.			मुझे पता है कि उसने नौकरी क्यों छोड़ी।
	INT19	[General]	Translation	[Interrogative]			Why did she say she will not come?			उसने क्यों कहा कि वह नहीं आएगी?
	INT20	[General]	Translation	[Interrogative]			Who is she?			वह(लड़का/लड़की) कौन हैं?
	INT21	[General]	Translation	[Interrogative]			Who knows Shila?			शीला को कौन जानता है?
	INT22	[General]	Translation	[Interrogative]			Who (all) came to your place last night?			कल रात आपके यहाँ कौन (सभी) आया था?
	INT23	[General]	Translation	[Interrogative]			She knows who found the dog.			वह जानती है कि कुत्ता किसने पाया।
	INT24	[General]	Translation	[Interrogative]			Whom do you like?			आप किसे पसंद करते हैं?
	INT25	[General]	Translation	[Interrogative]			I know whom you like.			मुझे पता है कि आप किसे पसंद करते हैं।
	INT26	[General]	Translation	[Interrogative]			How much money did Kiran get?			किरण को कितने पैसे मिले?
	INT27	[General]	Translation	[Interrogative]			Tilak knows how much money Kiran has.			तिलक जानते हैं कि किरण के पास कितना पैसा है।
	INT28	[General]	Translation	[Interrogative]			How many books do you want?			आपको कितनी किताबें चाहिए?
	INT29	[General]	Translation	[Interrogative]			I don't know how many books you have.			मुझे नहीं पता कि तुम्हारे पास कितनी किताबें हैं।
	INT30	[General]	Translation	[Interrogative]			Which is your house?			आपका घर कौन सा है?
	INT31	[General]	Translation	[Interrogative]			I know which colour you like.			मुझे पता है कि आपको कौन सा रंग पसंद है।
	INT32	[General]	Translation	[Interrogative]			How many-th child are you?			आप कितनेवें बच्चे हैं?
	INT33	[General]	Translation	[Interrogative]			How big is your house? 			आपका घर कितना बड़ा है ?
	INT34	[General]	Translation	[Interrogative]			Will you be here tomorrow?			क्या आप कल यहां होंगे ?
	INT35	[General]	Translation	[Interrogative]			Shall I call you tomorrow?			क्या मैं कल आपको फोन करूं ?
	INT36	[General]	Translation	[Interrogative]			Is it okay for me to call you uncle?			क्या मेरे लिए आपको अंकल बोलना ठीक है ?
	INT37	[General]	Translation	[Interrogative]			Can you come now?			क्या आप अभी आ सकते हैं ?
	INT38	[General]	Translation	[Interrogative]			Have you not done your work?			क्या आपने अपना काम नहीं किया ?
	INT39	[General]	Translation	[Interrogative]			Do you not know me?			क्या तुम मुझे नहीं जानते?
	INT40	[General]	Translation	[Interrogative]			The flower is beautiful. Isn't it?			फूल सुंदर है। है न ?
	INT41	[General]	Translation	[Interrogative]			He is not telling the truth. Is he?			वह सच नहीं बोल रहा है। क्या वो ?
	INT42	[General]	Translation	[Interrogative]			You know him, don't you?			आप उसे जानते हैं, हैं ना ?
	INT43	[General]	Translation	[Interrogative]			He saw you, didn't he?			उसने तुम्हें देखा, हैं ना ?
	INT44	[General]	Translation	[Interrogative]			He doesn't know me, does he?			बो मुझे नहीं जानता, हैं ना ?
	INT45	[General]	Translation	[Interrogative]			You will come, won't you?			तुम आओगे, हैं ना ?
	RR1	[General]	Translation	[Reflexive]			I should remind myself.			मुझे खुद को याद दिलाना चाहिए।
	RR2	[General]	Translation	[Reflexive]			You will remember yourself.			आप अपने आप को याद करेंगे।
	RR3	[General]	Translation	[Reflexive]			Rajiv saw himself.			राजीव ने खुद को देखा।
	RR4	[General]	Translation	[Reflexive]			We saw ourselves in the mirror.			हमने खुद को आईने में देखा।
	RR5	[General]	Translation	[Reflexive]			They blamed themselves [for the accident].			उन्होंने खुद को दोषी ठहराया [दुर्घटना के लिए]।
	RR6	[General]	Translation	[Reflexive]			Mira praised herself.			मीरा ने खुद की तारीफ की।
	RR7	[General]	Translation	[Reciprocal]			Mayank and Jane hate each other.			मयंक और जेन एक दूसरे से नफरत करते हैं।
	RR8	[General]	Translation	[Reciprocal]			Gangi and Bishnu kicked each other.			गंगी और विष्णु ने एक दूसरे को लात मारी।
	RR9	[General]	Translation	[Reciprocal]			We (dual) met each other at the church.			हम (दोनो) चर्च में एक दूसरे से मिले।
	RR10	[General]	Translation	[Reciprocal]			They told each other ghost stories.			उन्होंने एक दूसरे को भूत की कहानियां सुनाईं।
	RR11	[General]	Translation	[Reciprocal]			They wrote each other's stories.			उन्होंने एक दूसरे की कहानियाँ लिखीं।
	RR12	[General]	Translation	[Reflexive]			Rajiv shaved (himself).			राजीव ने (खुद की) दाढ़ी बनाई।
	RR13	[General]	Translation	[Reflexive]			Girjesh washed (himself).			गिरजेश ने (खुद को) साफ किया।
	RR14	[General]	Translation	[Reflexive]			I dressed (myself).			मैंने (खुद को) कपड़े पहनाए ।
	RR15	[General]	Translation	[Reflexive]			I bathed (myself).			मैंने (खुद को) नहलाया।
	RR16	[General]	Translation	[Reciprocal]			They bathed (each other).			उन्होंने (एक दूसरे को) नहलाया।
	RR17a	[General]	Translation	[Reciprocal]			They shaved each other. (combed, cut hair, delouse, ...)			उन्होंने एक दूसरे की दाढ़ी बनाई।
	RR17b	[General]	Translation	[Reciprocal]			They combed each other.			उन्होंने एक दूसरे को कंघी किया।
	RR17c	[General]	Translation	[Reciprocal]			They cut each other's hair.			उन्होंने एक दूसरे के बाल काटे।
	RR17d	[General]	Translation	[Reciprocal]			They picked out each other's lice.			उन्होंने एक दूसरे के जूँ निकाले।
	RR18	[General]	Translation	[Reciprocal]			Jane and Mayank met.			जेन और मयंक मिले।
	RR19	[General]	Translation	[Reciprocal]			The students met.			छात्र मिले।
	RR20	[General]	Translation	[Reciprocal]			Jane and Mayank argued.			जेन और मयंक में बहस हुई।
	RR21	[General]	Translation	[Reciprocal]			They are similar.			वे एक जैसे हैं।
	RR22	[General]	Translation	[Reciprocal]			Mayank and Jane are sitting next to each other.			मयंक और जेन एक दूसरे के बगल में बैठे हैं।
	RR23	[General]	Translation	[Reciprocal]			They followed each other (in a line).			वे (एक लाइन में) एक दूसरे के पीछे रहे।
	RR24	[General]	Translation	[Reciprocal]			The five guests arrived one after the other.			एक के बाद एक पांच मेहमान पहुंचे।
	RR25	[General]	Translation	[Reciprocal]			The boxes are stacked on top of each other.			बक्से एक दूसरे के ऊपर रखे थे।
	RR26	[General]	Translation	[Reflexive]			I was speaking to myself.			मैं अपने आप से बात कर रहा था।
	RR27	[General]	Translation	[Reflexive]			Do your work (by) yourself.			अपना काम (अपने आप) खुद करें।
	RR28	[General]	Translation	[Reflexive]			He looked at himself.			उसने खुद को देखा।
	RR29	[General]	Translation	[Reflexive]			The door opened by itself.			दरवाजा अपने आप खुल गया।
	RR30	[General]	Translation	[Reflexive]			She talked to herself.			उसने खुद से बात की।
	RR31	[General]	Translation	[Reflexive]			Ram bought a book for himself.			राम ने अपने लिए एक किताब खरीदी। 
	RR32	[General]	Translation	[Reflexive]			She is worried about herself.			बो अपने बारे में चिंतित है।
	RR33	[General]	Translation	[Reflexive]			They told me about themselves.			उन्होंने मुझे अपने बारे में बताया।
	RR34	[General]	Translation	[Reflexive]			Mohan told us about ourselves.			मोहन ने हमें अपने बारे में बताया।
	RR37	[General]	Translation	[Reflexive]			Mayuri described us to ourselves.			मयूरी ने हमें अपने बारे में बताया।
	RR38	[General]	Translation	[Reciprocal]			Kiran and Mira looked at each other.			किरण और मीरा ने एक दूसरे को देखा।
	RR39	[General]	Translation	[Reciprocal]			They gave each other a present.			उन्होंने एक दूसरे को तौहफा दिया।
	RR40	[General]	Translation	[Reciprocal]			They went to each other (visited each other).			वे एक-दूसरे के पास (एक-दूसरे से मिलने) गए।
	RR41	[General]	Translation	[Reciprocal]			They complained about each other.			उन्होंने आपस में एक - दूसरे की शिकायत की।
	RR42	[General]	Translation	[Reciprocal]			Mayank introduced the guests to each other.			मयंक ने मेहमानों का एक-दूसरे से परिचय कराया।
	RR43	[General]	Translation	[Reciprocal]			Madhu told the boys about each other.			मधु ने लड़कों को एक दूसरे के बारे में बताया।
	RR44	[General]	Translation	[Reciprocal]			Jane and Mayank have pictures of each other.			जेन और मयंक के पास एक - दूसरे की तस्वीरें हैं।
	RR46	[General]	Translation	[Reciprocal]			Seema hates herself.			सीमा खुद से नफरत करती है।
	RR47	[General]	Translation	[Reciprocal]			Mohan loves himself.			मोहन खुद से प्यार करता है।
	RR48	[General]	Translation	[Reciprocal]			Priti scared herself.			प्रीति खुद से डर गई।
	RR49	[General]	Translation	[Reciprocal]			Every teacher described self.			प्रत्येक शिक्षक ने अपने बारे में बताया।
	RR50	[General]	Translation	[Reciprocal]			All students described themselves.			सभी छात्रों ने अपने बारे में बताया।
	RR51	[General]	Translation	[Reciprocal]			Nobody blamed self.			किसी ने खुद को दोष नहीं दिया।
	RR52	[General]	Translation	[Reciprocal]			No one blamed themselves.			किसी ने खुद को गलत नहीं ठहराया।
	RR53	[General]	Translation	[Reciprocal]			Who hates self?			खुद से कौन नफरत करता है ?
	RR54	[General]	Translation	[Reciprocal]			Madhu thought that Mayank saw himself.			मधू ने सोचा कि मयंक ने खुद को देखा है।
	RR55	[General]	Translation	[Reciprocal]			Mayank told Madhu to describe herself.			मयंक ने मधू को अपने बारे में बताने को कहा।
	RR56	[General]	Translation	[Reciprocal]			Rajiv thinks that Mayank voted for himself. [i.e.,Mayank]			राजीव को लगता है कि मयंक ने अपने लिए वोट किया है।
	RR57	[General]	Translation	[Reciprocal]			Rajiv thinks that Mayank voted for himself. [i.e.,Rajiv].			राजीव को लगता है कि मयंक ने उसके लिए [यानी, राजीव के लिए] वोट किया है।
	RR58	[General]	Translation	[Reciprocal]			Mayank saw Mira defending herself.			मयंक ने मीरा को अपना बचाव करते हुए देखा।
	RR59	[General]	Translation	[Reciprocal]			John transferred the deed to himself.			जॉन ने विलेख को अपने पास स्थानांतरित कर दिया।
	RR60	[General]	Translation	[Reciprocal]			John expects himself to win.			जॉन को खुद के जीतने की उम्मीद है।
	CS1	[General]	Translation	[Complementation and subordination]			We will say that the shopkeeper confessed her sins.			हम कहेंगे कि दुकानदार ने अपने गुनाह कबूल कर लिये।
	CS2	[General]	Translation	[Complementation and subordination]			I feel that he will understand me.			मुझे लगता है कि बो मुझे समझेगा।
	CS3	[General]	Translation	[Complementation and subordination]			He thinks that I did not see him there.			बो सोचता है कि मैंने उसे वहां नहीं देखा।
	CS4	[General]	Translation	[Complementation and subordination]			The boss understood that Bill was capable of doing the work.			बॉस समझ गया था कि बिल काम करने में सक्षम था।
	CS5	[General]	Translation	[Complementation and subordination]			I asked if you will do me a favour.			मैंने पूछा कि क्या आप मुझ पर एक अहसान करेंगे।
	CS6	[General]	Translation	[Complementation and subordination]			I requested her to write a letter to the minister.			मैंने उनसे मंत्री को एक पत्र लिखने का अनुरोध किया।
	CS7	[General]	Translation	[Complementation and subordination]			I believe (that) he will join work tomorrow.			मुझे विश्वास है (कि) बो कल काम से जुड़ेंगे।
	CS8	[General]	Translation	[Complementation and subordination]			Mothers believe that the goddess protects the young from bad people.			माताओं का मानना ​​है कि देवी बच्चों को बुरे लोगों से बचाती हैं।
	CS9	[General]	Translation	[Complementation and subordination]			The shopkeeper confessed that he had seen the thief.			दुकानदार ने स्वीकार किया कि उसने चोर को देखा है।
	CS10	[General]	Translation	[Complementation and subordination]			We hope to reach home by night.			हमें रात तक घर पहुंचने की उम्मीद है।
	CS11	[General]	Translation	[Complementation and subordination]			We expect that the net will stop bigger birds from eating the crop.			हम उम्मीद करते हैं कि जाल बड़े पक्षियों को फसल खाने से रोकेगा।
	CS12	[General]	Translation	[Complementation and subordination]			The judge decided to punish the accused.			जज ने आरोपी को सजा देने का फैसला किया।
	CS13	[General]	Translation	[Complementation and subordination]			Scientists consider copper-vessel water to be beneficial.			वैज्ञानिक तांबे के बर्तन के पानी को फायदेमंद मानते हैं।
	CS14	[General]	Translation	[Complementation and subordination]			The child suspects that the cat wants its toy.			बच्चे को शक होता है कि बिल्ली को उसका खिलौना चाहिए।
	CS15	[General]	Translation	[Complementation and subordination]			The students know that their teacher comes late.			छात्र जानते हैं कि उनके शिक्षक देर से आते हैं।
	CS16	[General]	Translation	[Complementation and subordination]			Reena will tell the women to make the children eat.			रीना महिलाओं से कहेगी कि बच्चों को खिलाओ।
	CS17	[General]	Translation	[Complementation and subordination]			He told Seema to meet him in the evening.			उसने सीमा को शाम को उससे मिलने के लिए कहा।
	CS18a	[General]	Translation	[Complementation and subordination]			He asked if Ramesh came.			उसने पूछा कि क्या रमेश आया था। 
	CS18b	[General]	Translation	[Complementation and subordination]			He asked whether Ramesh came.			उसने पूछा कि रमेश आया था या नहीं। 
	CS19	[General]	Translation	[Complementation and subordination]			We want the visitors to let their children play.			हम चाहते हैं कि दर्शक अपने बच्चों को खेलने दें।
	CS20	[General]	Translation	[Complementation and subordination]			Ramesh persuaded the boys to watch the cricket match.			रमेश ने लड़कों को क्रिकेट मैच देखने के लिए मनाया।
	CS21	[General]	Translation	[Complementation and subordination]			We promised the boys that we would yell at the donkeys.			हमने लड़कों से वादा किया था कि हम गधों पर चिल्लाएंगे।
	CS22	[General]	Translation	[Complementation and subordination]			We hope to see Mary win.			हम मैरी को जीतते हुए देखने की उम्मीद करते हैं। 
	Coo1	[General]	Translation	[Coordination]			My brother and sister have gone to the market.			मेरे भाई और बहन बाजार गए हैं।
	Coo2	[General]	Translation	[Coordination]			I bought two apples and three oranges.			मैंने दो सेब और तीन संतरे खरीदे।
	Coo3	[General]	Translation	[Coordination]			I will finish my work and return home.			मैं अपना काम खत्म कर घर वापस आ जाऊंगा।
	Coo4	[General]	Translation	[Coordination]			Vikram saw the movie and Ajay played with the child.			विक्रम ने फिल्म देखी और अजय ने बच्चे के साथ खेला। 
	Coo5	[General]	Translation	[Coordination]			My brother or sister will come tomorrow.			मेरा भाई या बहन कल आएंगे।
	Coo6	[General]	Translation	[Coordination]			He can cook dinner or look after the child.			बो रात का खाना बना सकता है या बच्चे की देखभाल कर सकता है।
	Coo7	[General]	Translation	[Coordination]			She can neither sing a song nor dance.			बो न तो गीत गा सकती है और न ही नृत्य कर सकती है।
	Coo8	[General]	Translation	[Coordination]			He is a good man but a bad cook.			बो एक अच्छा आदमी है लेकिन एक बुरा रसोइया है।
	Coo9	[General]	Translation	[Coordination]			He may take my food but he will never take my clothes.			बो मेरा खाना ले सकता है लेकिन बो मेरे कपड़े कभी नहीं लेगा।
	Coo10	[General]	Translation	[Coordination]			Samir was hungry so he ate all the rice.			समीर भूखा था इसलिए उसने सारे चावल खा लिए।
	Coo11	[General]	Translation	[Coordination]			The crop could not be harvested because of the heavy rain.			तेज बारिश के कारण फसल की कटाई नहीं हो सकी।
	Coo12	[General]	Translation	[Coordination]			Ramesh came because I had called him.			रमेश आया क्योंकि मैंने उसे बुलाया था।
	Coo13	[General]	Translation	[Coordination]			He ate two rotis so that he doesn't get hungry.			उसने दो रोटियाँ खाईं ताकि उसे भूख न लगे।
	Coo14	[General]	Translation	[Coordination]			When it rains, peacock will dance.			जब बारिश होगी तो मोर नाचेंगे।
	Coo15	[General]	Translation	[Coordination]			The baby will not cry as long as you feed her.			जब तक आप उसे दूध पिलाएंगे तब तक बच्चा नहीं रोएगा।
	Coo16	[General]	Translation	[Coordination]			Help others, otherwise they won't help you.			दूसरों की मदद करें, नहीं तो वे आपकी मदद नहीं करेंगे।
	Coo17	[General]	Translation	[Coordination]			Despite heavy rains, farmers went to the field.			तेज बारिश के बावजूद किसान खेत पर गए।
	Coo18	[General]	Translation	[Coordination]			Although he was late, he got the bus.			हालांकि उसे देर हो गई थी, लेकिन उसे बस मिल गई।
	Coo19	[General]	Translation	[Coordination]			He told a lie even though he knew the truth well.			उसने सच को अच्छी तरह से जानते हुए भी झूठ बोला।
	Coo20	[General]	Translation	[Coordination]			He will go if you ask him to go.			अगर तुम उसे जाने के लिए कहोगे तो वह चला जाएगा।
	Coo21	[General]	Translation	[Coordination]			If you study, then you will pass the exam.			अगर तुम पढ़ते हो, तभी तुम परीक्षा पास करोगे।
	Coo22	[General]	Translation	[Coordination]			If you read a book, then (only) you can pass the test.			अगर तुम एक किताब पढ़ते हो, तभी (केवल) तुम परीक्षा पास कर सकते हो।
	Coo23	[General]	Translation	[Coordination]			If it had rained, it would have been so good.			बारिश होती तो कितना अच्छा होता।
	Coo24	[General]	Translation	[Coordination]			If only Ramesh's father was dead today, (then) he wouldn't have to see this day.			अगर आज केवल रमेश के पिता मर जाते तो (तब) उन्हें यह दिन नहीं देखना पड़ता।
	Coo25	[General]	Translation	[Coordination]			Whenever you do a bad thing, each time I will confront you.			जब भी तुम कोई बुरा काम करोगे, तो हर बार मैं तुम्हारा सामना करूंगा।
	Coo26	[General]	Translation	[Coordination]			Whosoever eats here, goes back satisfied.			जो कोई भी यहां खाता है वह संतुष्ट होकर वापस जाता है।
	Coo27	[General]	Translation	[Coordination]			I bought apples, pears and oranges.			मैंने सेब, नाशपाती और संतरे खरीदे।
	Coo28	[General]	Translation	[Coordination]			I have to buy clothes, cook food and clean the house before everyone comes.			मुझे सबके आने से पहले कपड़े खरीदना है, खाना बनाना है और घर की सफाई करनी है।
	Coo29	[General]	Translation	[Coordination]			Will you take tea, coffee or lemonade?			क्या आप चाय, कॉफी या नींबू पानी लेंगे?
	Coo30	[General]	Translation	[Coordination]			You have to either go to the market or cook the food or take care of the child.			आपको या तो बाजार जाना होगा या खाना बनाना होगा या बच्चे की देखभाल करनी होगी।
	Neg1	[General]	Translation	[Negative and Prohibitive]			He is not a teacher.			वो शिक्षक नहीं है।
	Neg2	[General]	Translation	[Negative and Prohibitive]			There is no water in the river.			नदी में पानी नहीं है।
